0,1,2,3,4,5,6,7,8,9
blue,ADJ,compound,4,11,15,3,3,,
America,PROPN,nsubj,5,16,23,4,3,3-2,LOC
subsidizes,VERB,ROOT,5,24,34,5,3,,
red,PROPN,compound,7,35,38,6,3,,
America,PROPN,dobj,5,39,46,7,3,,
to,ADP,prep,5,47,49,8,3,,
the,DET,det,10,50,53,9,3,,
tune,NOUN,pobj,8,54,58,10,3,,
of,ADP,prep,10,59,61,11,3,,
$,SYM,quantmod,14,62,63,12,3,,
90,NUM,compound,14,64,66,13,3,,
billion,NUM,pobj,11,67,74,14,3,,
or,CCONJ,cc,14,75,77,15,3,,
so,ADV,conj,14,78,80,16,3,,
each,DET,det,18,81,85,17,3,,
year,NOUN,npadvmod,5,86,90,18,3,,
.,PUNCT,punct,5,91,92,19,3,,
Ryan,PROPN,compound,1,0,4,0,4,,
Toews,PROPN,nsubj,21,5,10,1,4,,
",",PUNCT,punct,1,11,12,2,4,,
24,NUM,appos,1,13,15,3,4,,
",",PUNCT,punct,1,16,17,4,4,,
single,ADJ,amod,1,18,24,5,4,,
",",PUNCT,punct,1,25,26,6,4,,
a,DET,det,8,27,28,7,4,,
driver,NOUN,appos,1,29,35,8,4,,
in,ADP,prep,8,36,38,9,4,,
the,DET,det,13,39,42,10,4,,
Tennessee,PROPN,compound,13,43,52,11,4,4-1,ORG
National,PROPN,compound,13,53,61,12,4,4-1,ORG
Guard,PROPN,poss,17,62,67,13,4,4-1,ORG
's,PART,case,13,68,70,14,4,,
1174th,PROPN,compound,16,71,77,15,4,,
Transportation,PROPN,compound,17,78,92,16,4,,
Company,PROPN,pobj,9,93,100,17,4,,
in,ADP,prep,17,101,103,18,4,,
Dresden,PROPN,pobj,18,104,111,19,4,4-2,LOC
",",PUNCT,punct,1,112,113,20,4,,
asked,VERB,ROOT,21,114,119,21,4,,
",",PUNCT,punct,21,120,121,22,4,,
'',PUNCT,punct,21,122,124,23,4,,
Heard,VERB,ccomp,21,125,130,24,4,,
of,ADP,prep,24,131,133,25,4,,
the,DET,det,27,134,137,26,4,,
Mennonites,PROPN,pobj,25,138,148,27,4,,
?,PUNCT,punct,21,149,150,28,4,,
'',PUNCT,punct,21,151,153,29,4,,
'',PUNCT,ROOT,0,0,2,0,5,,
If,SCONJ,mark,4,3,5,1,5,,
Orrin,PROPN,compound,3,6,11,2,5,,
Hatch,PROPN,nsubj,4,12,17,3,5,,
came,VERB,advcl,15,18,22,4,5,,
in,ADP,prep,4,23,25,5,5,,
third,ADJ,amod,7,26,31,6,5,,
place,NOUN,pobj,5,32,37,7,5,,
in,ADP,prep,7,38,40,8,5,,
the,DET,det,11,41,44,9,5,,
Iowa,PROPN,compound,11,45,49,10,5,5-1,LOC
caucuses,NOUN,pobj,8,50,58,11,5,,
",",PUNCT,punct,15,59,60,12,5,,
that,DET,nsubj,15,61,65,13,5,,
would,VERB,aux,15,66,71,14,5,,
be,AUX,ccomp,24,72,74,15,5,,
bigger,ADJ,amod,17,75,81,16,5,,
news,NOUN,attr,15,82,86,17,5,,
that,SCONJ,mark,21,87,91,18,5,,
George,PROPN,compound,20,92,98,19,5,5-2,PER
Bush,PROPN,nsubj,21,99,103,20,5,5-2,PER
winning,VERB,acl,17,104,111,21,5,,
",",PUNCT,punct,24,112,113,22,5,,
'',PUNCT,punct,24,114,116,23,5,,
said,VERB,ROOT,24,117,121,24,5,,
James,PROPN,compound,26,122,127,25,5,,
Camp,PROPN,nsubj,24,128,132,26,5,,
",",PUNCT,punct,26,133,134,27,5,,
Mr.,PROPN,compound,29,135,138,28,5,,
Hatch,PROPN,poss,33,139,144,29,5,,
's,PART,case,29,145,147,30,5,,
national,ADJ,amod,33,148,156,31,5,,
political,ADJ,amod,33,157,166,32,5,,
director,NOUN,appos,26,167,175,33,5,,
.,PUNCT,punct,24,176,177,34,5,,
The,DET,det,4,0,3,0,6,,
Rev.,PROPN,compound,4,4,8,1,6,,
F.,PROPN,compound,4,9,11,2,6,,
Wayne,PROPN,compound,4,12,17,3,6,,
Weiss,PROPN,nsubj,5,18,23,4,6,,
performed,VERB,ROOT,5,24,33,5,6,,
the,DET,det,7,34,37,6,6,,
ceremony,NOUN,dobj,5,38,46,7,6,,
at,ADP,prep,5,47,49,8,6,,
Covenant,PROPN,compound,11,50,58,9,6,,
Presbyterian,PROPN,compound,11,59,71,10,6,,
Church,PROPN,pobj,8,72,78,11,6,,
in,ADP,prep,11,79,81,12,6,,
Upper,PROPN,compound,14,82,87,13,6,6-1,LOC
Arlington,PROPN,pobj,12,88,97,14,6,6-1,LOC
",",PUNCT,punct,14,98,99,15,6,,
Ohio,PROPN,appos,14,100,104,16,6,6-2,LOC
.,PUNCT,punct,5,105,106,17,6,,
Singapore,PROPN,nsubj,3,0,9,0,7,,
will,VERB,aux,3,10,14,1,7,,
not,PART,neg,3,15,18,2,7,,
charge,VERB,ROOT,3,19,25,3,7,,
the,DET,det,5,26,29,4,7,,
Pentagon,PROPN,dobj,3,30,38,5,7,,
for,ADP,prep,3,39,42,6,7,,
the,DET,det,9,43,46,7,7,,
additional,ADJ,amod,9,47,57,8,7,,
use,NOUN,pobj,6,58,61,9,7,,
of,ADP,prep,9,62,64,10,7,,
its,DET,poss,12,65,68,11,7,,
territory,NOUN,pobj,10,69,78,12,7,,
",",PUNCT,punct,15,79,80,13,7,,
officials,NOUN,nsubj,15,81,90,14,7,,
said,VERB,parataxis,3,91,95,15,7,,
",",PUNCT,punct,15,96,97,16,7,,
but,CCONJ,cc,3,98,101,17,7,,
the,DET,det,20,102,105,18,7,,
United,PROPN,compound,20,106,112,19,7,7-1,LOC
States,PROPN,nsubj,22,113,119,20,7,7-1,LOC
will,VERB,aux,22,120,124,21,7,,
train,VERB,conj,3,125,130,22,7,,
Singaporean,ADJ,amod,25,131,142,23,7,7-2,LOC
military,ADJ,amod,25,143,151,24,7,,
personnel,NOUN,dobj,22,152,161,25,7,,
as,SCONJ,prep,25,162,164,26,7,,
compensation,NOUN,pobj,26,165,177,27,7,,
.,PUNCT,punct,22,178,179,28,7,,
\,X,ROOT,0,0,1,0,8,,
*,PUNCT,punct,0,1,2,1,8,,
Poughkeepsie,PROPN,compound,4,3,15,2,8,,
Savings,PROPN,compound,4,16,23,3,8,,
Bank,PROPN,nsubj,10,24,28,4,8,,
",",PUNCT,punct,4,29,30,5,8,,
Poughkeepsie,PROPN,npadvmod,4,31,43,6,8,,
",",PUNCT,punct,6,44,45,7,8,,
N.Y.,PROPN,appos,6,46,50,8,8,8-1,LOC
",",PUNCT,punct,4,51,52,9,8,,
named,VERB,ROOT,10,53,58,10,8,,
Christoph,PROPN,compound,12,59,68,11,8,8-2,PER
Schmidt,PROPN,compound,13,69,76,12,8,8-2,PER
president,NOUN,oprd,10,77,86,13,8,,
",",PUNCT,punct,10,87,88,14,8,,
replacing,VERB,advcl,10,89,98,15,8,,
Michael,PROPN,compound,17,99,106,16,8,,
Feeks,PROPN,dobj,15,107,112,17,8,,
",",PUNCT,punct,17,113,114,18,8,,
who,PRON,nsubj,20,115,118,19,8,,
resigned,VERB,relcl,17,119,127,20,8,,
.,PUNCT,punct,10,128,129,21,8,,
This,DET,det,1,0,4,0,9,,
week,NOUN,poss,3,5,9,1,9,,
's,PART,case,1,10,12,2,9,,
final,ADJ,nsubjpass,18,13,18,3,9,,
between,ADP,prep,3,19,26,4,9,,
Spain,PROPN,pobj,4,27,32,5,9,9-1,MISC
and,CCONJ,cc,5,33,36,6,9,,
Australia,PROPN,conj,5,37,46,7,9,,
in,ADP,prep,3,47,49,8,9,,
a,DET,det,11,50,51,9,9,,
"14,000-seat",NUM,nummod,11,52,63,10,9,,
arena,NOUN,pobj,8,64,69,11,9,,
in,ADP,prep,11,70,72,12,9,,
Barcelona,PROPN,pobj,12,73,82,13,9,9-2,LOC
",",PUNCT,punct,13,83,84,14,9,,
Spain,PROPN,appos,13,85,90,15,9,,
",",PUNCT,punct,18,91,92,16,9,,
is,AUX,auxpass,18,93,95,17,9,,
sold,VERB,ROOT,18,96,100,18,9,,
out,ADP,prt,18,101,104,19,9,,
.,PUNCT,punct,18,105,106,20,9,,
Paul,PROPN,nmod,3,0,4,0,10,10-1,PER
Windels,PROPN,nmod,3,5,12,1,10,10-1,PER
",",PUNCT,punct,3,13,14,2,10,,
Jr.,PROPN,ROOT,3,15,18,3,10,10-2,PER
",",PUNCT,punct,3,19,20,4,10,,
Chairman,PROPN,compound,6,21,29,5,10,,
Board,PROPN,appos,3,30,35,6,10,,
of,ADP,prep,6,36,38,7,10,,
Trustees,PROPN,compound,11,39,47,8,10,,
Joan,PROPN,compound,11,48,52,9,10,,
G.,PROPN,compound,11,53,55,10,10,,
Wexler,PROPN,pobj,7,56,62,11,10,,
",",PUNCT,punct,11,63,64,12,10,,
Dean,PROPN,npadvmod,11,65,69,13,10,,
But,CCONJ,cc,3,0,3,0,11,,
Comstock,PROPN,nsubj,3,4,12,1,11,,
",",PUNCT,punct,3,13,14,2,11,,
convinced,VERB,ccomp,16,15,24,3,11,,
that,SCONJ,mark,7,25,29,4,11,,
he,PRON,nsubjpass,7,30,32,5,11,,
was,AUX,auxpass,7,33,36,6,11,,
chosen,VERB,ccomp,3,37,43,7,11,,
by,ADP,agent,7,44,46,8,11,,
God,PROPN,pobj,8,47,50,9,11,11-1,MISC
to,PART,aux,11,51,53,10,11,,
fight,VERB,xcomp,7,54,59,11,11,,
sin,NOUN,dobj,11,60,63,12,11,,
",",PUNCT,punct,16,64,65,13,11,,
will,VERB,aux,16,66,70,14,11,,
eventually,ADV,advmod,16,71,81,15,11,,
force,VERB,ROOT,16,82,87,16,11,,
the,DET,det,19,88,91,17,11,,
hounded,VERB,amod,19,92,99,18,11,,
Sanger,PROPN,dobj,16,100,106,19,11,11-2,PER
to,PART,aux,21,107,109,20,11,,
leave,VERB,xcomp,16,110,115,21,11,,
her,DET,poss,23,116,119,22,11,,
family,NOUN,dobj,21,120,126,23,11,,
and,CCONJ,cc,23,127,130,24,11,,
flee,VERB,conj,23,131,135,25,11,,
to,ADP,prep,21,136,138,26,11,,
London,PROPN,pobj,26,139,145,27,11,,
.,PUNCT,punct,16,146,147,28,11,,
Finnish,PROPN,amod,3,0,7,0,12,12-1,MISC
Jumper,PROPN,compound,3,8,14,1,12,12-1,MISC
Wins,PROPN,compound,3,15,19,2,12,12-1,MISC
Championship,PROPN,ROOT,3,20,32,3,12,12-1,MISC
:,PUNCT,punct,3,33,34,4,12,,
Ari,PROPN,compound,7,35,38,5,12,,
Pekka,PROPN,compound,7,39,44,6,12,,
Nikkola,PROPN,nsubj,10,45,52,7,12,,
of,ADP,prep,7,53,55,8,12,,
Finland,PROPN,pobj,8,56,63,9,12,12-2,LOC
won,VERB,ROOT,10,64,67,10,12,,
the,DET,det,14,68,71,11,12,,
World,PROPN,compound,13,72,77,12,12,,
Cup,PROPN,compound,14,78,81,13,12,,
title,NOUN,dobj,10,82,87,14,12,,
yesterday,NOUN,npadvmod,10,88,97,15,12,,
by,ADP,prep,10,98,100,16,12,,
finishing,VERB,pcomp,16,101,110,17,12,,
second,ADV,advmod,17,111,117,18,12,,
to,ADP,prep,18,118,120,19,12,,
Roberto,PROPN,compound,21,121,128,20,12,,
Cecon,PROPN,pobj,19,129,134,21,12,,
of,ADP,prep,21,135,137,22,12,,
Italy,PROPN,pobj,22,138,143,23,12,,
in,ADP,prep,21,144,146,24,12,,
Planica,PROPN,pobj,24,147,154,25,12,,
",",PUNCT,punct,25,155,156,26,12,,
Yugoslavia,PROPN,appos,25,157,167,27,12,,
.,PUNCT,punct,10,168,169,28,12,,
The,DET,det,1,0,3,0,13,,
game,NOUN,nsubj,3,4,8,1,13,,
quickly,ADV,advmod,3,9,16,2,13,,
spread,VERB,ROOT,3,17,23,3,13,,
to,ADP,prep,3,24,26,4,13,,
Texas,PROPN,pobj,4,27,32,5,13,,
and,CCONJ,cc,5,33,36,6,13,,
New,PROPN,compound,8,37,40,7,13,13-1,LOC
Orleans,PROPN,conj,5,41,48,8,13,13-1,LOC
and,CCONJ,cc,3,49,52,9,13,,
rode,VERB,conj,3,53,57,10,13,,
the,DET,det,12,58,61,11,13,,
riverboats,NOUN,dobj,10,62,72,12,13,,
up,ADP,prep,10,73,75,13,13,,
the,DET,det,16,76,79,14,13,,
Mississippi,PROPN,compound,16,80,91,15,13,13-2,LOC
River,PROPN,pobj,13,92,97,16,13,13-2,LOC
and,CCONJ,cc,13,98,101,17,13,,
to,ADP,prep,10,102,104,18,13,,
New,PROPN,compound,20,105,108,19,13,,
York,PROPN,pobj,18,109,113,20,13,,
.,PUNCT,punct,3,114,115,21,13,,
`,PUNCT,punct,3,0,1,0,14,,
`,PUNCT,punct,3,1,2,1,14,,
It,PRON,nsubj,3,3,5,2,14,,
was,AUX,ccomp,12,6,9,3,14,,
the,DET,det,6,10,13,4,14,,
best,ADJ,amod,6,14,18,5,14,,
weekend,NOUN,attr,3,19,26,6,14,,
of,ADP,prep,6,27,29,7,14,,
my,DET,poss,9,30,32,8,14,,
life,NOUN,pobj,7,33,37,9,14,,
",",PUNCT,punct,12,38,39,10,14,,
'',PUNCT,punct,12,40,42,11,14,,
said,VERB,ROOT,12,43,47,12,14,,
Mike,PROPN,compound,14,48,52,13,14,14-1,PER
Pugliese,PROPN,nsubj,12,53,61,14,14,14-1,PER
",",PUNCT,punct,14,62,63,15,14,,
21,NUM,appos,14,64,66,16,14,,
",",PUNCT,punct,14,67,68,17,14,,
of,ADP,prep,14,69,71,18,14,,
the,DET,det,20,72,75,19,14,,
Bronx,PROPN,pobj,18,76,81,20,14,14-2,LOC
.,PUNCT,punct,12,82,83,21,14,,
But,CCONJ,cc,14,0,3,0,15,,
Coach,PROPN,compound,3,4,9,1,15,,
Pat,PROPN,compound,3,10,13,2,15,,
Riley,PROPN,nsubj,14,14,19,3,15,,
",",PUNCT,punct,14,20,21,4,15,,
while,SCONJ,mark,6,22,27,5,15,,
stopping,VERB,advcl,14,28,36,6,15,,
well,ADV,advmod,8,37,41,7,15,,
short,ADV,advmod,6,42,47,8,15,,
of,ADP,prep,8,48,50,9,15,,
predicting,VERB,pcomp,9,51,61,10,15,,
a,DET,det,12,62,63,11,15,,
championship,NOUN,dobj,10,64,76,12,15,,
",",PUNCT,punct,14,77,78,13,15,,
made,VERB,ROOT,14,79,83,14,15,,
it,PRON,nsubj,16,84,86,15,15,,
clear,ADJ,ccomp,14,87,92,16,15,,
on,ADP,prep,16,93,95,17,15,,
the,DET,det,19,96,99,18,15,,
eve,NOUN,pobj,17,100,103,19,15,,
of,ADP,prep,19,104,106,20,15,,
Friday,PROPN,poss,24,107,113,21,15,,
's,PART,case,21,114,116,22,15,,
season,NOUN,compound,24,117,123,23,15,,
opener,NOUN,pobj,20,124,130,24,15,,
in,ADP,prep,24,131,133,25,15,,
Atlanta,PROPN,pobj,25,134,141,26,15,15-1,LOC
that,SCONJ,mark,29,142,146,27,15,,
he,PRON,nsubj,29,147,149,28,15,,
expected,VERB,advcl,16,150,158,29,15,,
the,DET,det,31,159,162,30,15,,
Knicks,PROPN,nsubj,33,163,169,31,15,15-2,MISC
to,PART,aux,33,170,172,32,15,,
mesh,VERB,ccomp,29,173,177,33,15,,
quickly,ADV,advmod,33,178,185,34,15,,
",",PUNCT,punct,33,186,187,35,15,,
seven,NUM,nummod,38,188,193,36,15,,
new,ADJ,amod,38,194,197,37,15,,
players,NOUN,dobj,33,198,205,38,15,,
or,CCONJ,cc,38,206,208,39,15,,
not,PART,conj,33,209,212,40,15,,
.,PUNCT,punct,14,213,214,41,15,,
But,CCONJ,cc,4,0,3,0,16,,
they,PRON,nsubj,4,4,8,1,16,,
will,VERB,aux,4,9,13,2,16,,
also,ADV,advmod,4,14,18,3,16,,
see,VERB,ROOT,4,19,22,4,16,,
the,DET,det,6,23,26,5,16,,
work,NOUN,dobj,4,27,31,6,16,,
of,ADP,prep,6,32,34,7,16,,
the,DET,det,9,35,38,8,16,,
woman,NOUN,pobj,7,39,44,9,16,,
who,PRON,nsubj,11,45,48,10,16,,
inspired,VERB,relcl,9,49,57,11,16,,
Mr.,PROPN,compound,13,58,61,12,16,,
Martin,PROPN,poss,15,62,68,13,16,,
's,PART,case,13,69,71,14,16,,
tale,NOUN,dobj,11,72,76,15,16,,
in,ADP,prep,11,77,79,16,16,,
the,DET,det,19,80,83,17,16,,
first,ADJ,amod,19,84,89,18,16,,
place,NOUN,pobj,16,90,95,19,16,,
:,PUNCT,punct,9,96,97,20,16,,
the,DET,det,24,98,101,21,16,,
artist,NOUN,compound,24,102,108,22,16,,
Allyson,PROPN,compound,24,109,116,23,16,,
Hollingsworth,PROPN,appos,9,117,130,24,16,,
",",PUNCT,punct,24,131,132,25,16,,
who,PRON,nsubj,27,133,136,26,16,,
created,VERB,relcl,24,137,144,27,16,,
the,DET,det,29,145,148,28,16,,
photographs,NOUN,dobj,27,149,160,29,16,,
and,CCONJ,cc,29,161,164,30,16,,
drawings,NOUN,conj,29,165,173,31,16,,
attributed,VERB,acl,29,174,184,32,16,,
to,ADP,prep,32,185,187,33,16,,
Ms.,PROPN,compound,35,188,191,34,16,16-1,PER
Danes,PROPN,poss,37,192,197,35,16,16-1,PER
's,PART,case,35,198,200,36,16,,
character,NOUN,pobj,33,201,210,37,16,,
",",PUNCT,punct,37,211,212,38,16,,
Mirabelle,PROPN,compound,40,213,222,39,16,16-2,PER
Buttersfield,PROPN,appos,37,223,235,40,16,16-2,PER
",",PUNCT,punct,27,236,237,41,16,,
and,CCONJ,cc,27,238,241,42,16,,
who,PRON,nsubj,45,242,245,43,16,,
also,ADV,advmod,45,246,250,44,16,,
served,VERB,conj,27,251,257,45,16,,
as,SCONJ,prep,45,258,260,46,16,,
a,DET,det,48,261,262,47,16,,
consultant,NOUN,pobj,46,263,273,48,16,,
on,ADP,prep,48,274,276,49,16,,
the,DET,det,51,277,280,50,16,,
film,NOUN,pobj,49,281,285,51,16,,
.,PUNCT,punct,4,286,287,52,16,,
But,CCONJ,cc,3,0,3,0,17,,
he,PRON,nsubj,3,4,6,1,17,,
fully,ADV,advmod,3,7,12,2,17,,
supported,VERB,ROOT,3,13,22,3,17,,
deployment,NOUN,dobj,3,23,33,4,17,,
of,ADP,prep,4,34,36,5,17,,
American,ADJ,amod,7,37,45,6,17,17-1,LOC
warships,NOUN,pobj,5,46,54,7,17,,
in,ADP,prep,7,55,57,8,17,,
the,DET,det,11,58,61,9,17,,
Persian,PROPN,compound,11,62,69,10,17,,
Gulf,PROPN,pobj,8,70,74,11,17,,
and,CCONJ,cc,3,75,78,12,17,,
lobbied,VERB,conj,3,79,86,13,17,,
Congress,PROPN,dobj,13,87,95,14,17,17-2,MISC
on,ADP,prep,13,96,98,15,17,,
behalf,NOUN,pobj,15,99,105,16,17,,
of,ADP,prep,16,106,108,17,17,,
the,DET,det,20,109,112,18,17,,
Nicaraguan,ADJ,amod,20,113,123,19,17,,
rebels,NOUN,pobj,17,124,130,20,17,,
.,PUNCT,punct,3,131,132,21,17,,
`,PUNCT,punct,4,0,1,0,18,,
`,PUNCT,punct,4,1,2,1,18,,
The,DET,det,3,3,6,2,18,,
pattern,NOUN,nsubj,4,7,14,3,18,,
is,AUX,ccomp,14,15,17,4,18,,
pretty,ADV,advmod,6,18,24,5,18,,
much,ADV,advmod,4,25,29,6,18,,
the,DET,det,8,30,33,7,18,,
same,ADJ,attr,4,34,38,8,18,,
across,ADP,prep,4,39,45,9,18,,
the,DET,det,11,46,49,10,18,,
nation,NOUN,pobj,9,50,56,11,18,,
",",PUNCT,punct,14,57,58,12,18,,
'',PUNCT,punct,14,59,61,13,18,,
said,VERB,ROOT,14,62,66,14,18,,
Kris,PROPN,compound,16,67,71,15,18,,
Knapton,PROPN,nsubj,14,72,79,16,18,,
",",PUNCT,punct,16,80,81,17,18,,
a,DET,det,19,82,83,18,18,,
spokesman,NOUN,appos,16,84,93,19,18,,
for,ADP,prep,19,94,97,20,18,,
Metra,PROPN,pobj,20,98,103,21,18,18-1,MISC
",",PUNCT,punct,21,104,105,22,18,,
a,DET,det,27,106,107,23,18,,
commuter,NOUN,compound,25,108,116,24,18,,
rail,NOUN,compound,27,117,121,25,18,,
 ,SPACE,,25,122,123,26,18,,
service,NOUN,appos,21,123,130,27,18,,
in,ADP,prep,27,131,133,28,18,,
northeastern,ADJ,amod,30,134,146,29,18,,
Illinois,PROPN,pobj,28,147,155,30,18,18-2,ORG
.,PUNCT,punct,14,156,157,31,18,,
Elizabeth,PROPN,compound,2,0,9,0,19,,
Tarleton,PROPN,compound,2,10,18,1,19,,
Cowen,PROPN,nsubjpass,22,19,24,2,19,,
",",PUNCT,punct,2,25,26,3,19,,
the,DET,det,5,27,30,4,19,,
daughter,NOUN,appos,2,31,39,5,19,,
of,ADP,prep,5,40,42,6,19,,
Julia,PROPN,compound,9,43,48,7,19,,
Parker,PROPN,compound,9,49,55,8,19,,
Bell,PROPN,pobj,6,56,60,9,19,,
and,CCONJ,cc,9,61,64,10,19,,
Peter,PROPN,compound,13,65,70,11,19,,
Donnelly,PROPN,compound,13,71,79,12,19,,
Cowen,PROPN,conj,9,80,85,13,19,,
",",PUNCT,punct,2,86,87,14,19,,
both,DET,appos,2,88,92,15,19,,
of,ADP,prep,15,93,95,16,19,,
Newton,PROPN,pobj,16,96,102,17,19,,
",",PUNCT,punct,17,103,104,18,19,,
Mass.,PROPN,appos,17,105,110,19,19,,
",",PUNCT,punct,17,111,112,20,19,,
was,AUX,auxpass,22,113,116,21,19,,
married,VERB,ROOT,22,117,124,22,19,,
yesterday,NOUN,npadvmod,22,125,134,23,19,,
to,ADP,prep,22,135,137,24,19,,
Peter,PROPN,compound,27,138,143,25,19,,
Dierks,PROPN,compound,27,144,150,26,19,,
Sutherland,PROPN,pobj,24,151,161,27,19,,
",",PUNCT,punct,27,162,163,28,19,,
the,DET,det,30,164,167,29,19,,
son,NOUN,appos,27,168,171,30,19,,
of,ADP,prep,30,172,174,31,19,,
Cindy,PROPN,pobj,31,175,180,32,19,,
and,CCONJ,cc,32,181,184,33,19,,
Dwight,PROPN,compound,37,185,191,34,19,19-1,PER
Dierks,PROPN,compound,37,192,198,35,19,19-1,PER
Sutherland,PROPN,compound,37,199,209,36,19,19-1,PER
Jr.,PROPN,conj,32,210,213,37,19,19-1,PER
of,ADP,prep,32,214,216,38,19,,
Mission,PROPN,compound,40,217,224,39,19,,
Hills,PROPN,pobj,38,225,230,40,19,,
",",PUNCT,punct,40,231,232,41,19,,
Kan.,PROPN,intj,41,233,237,42,19,19-2,MISC
Calls,NOUN,nsubj,7,0,5,0,20,,
for,ADP,prep,0,6,9,1,20,,
democratic,ADJ,amod,3,10,20,2,20,,
safeguards,NOUN,pobj,1,21,31,3,20,,
against,ADP,prep,3,32,39,4,20,,
Beijing,PROPN,pobj,4,40,47,5,20,,
have,AUX,aux,7,48,52,6,20,,
grown,VERB,ROOT,7,53,58,7,20,,
in,ADP,prep,7,59,61,8,20,,
Hong,PROPN,compound,10,62,66,9,20,20-1,LOC
Kong,PROPN,pobj,8,67,71,10,20,20-1,LOC
since,SCONJ,prep,7,72,77,11,20,,
June,PROPN,pobj,11,78,82,12,20,,
1989,NUM,nummod,12,83,87,13,20,,
",",PUNCT,punct,12,88,89,14,20,,
when,ADV,advmod,17,90,94,15,20,,
China,PROPN,nsubj,17,95,100,16,20,20-2,NONE
used,VERB,relcl,12,101,105,17,20,,
troops,NOUN,dobj,17,106,112,18,20,,
to,PART,aux,20,113,115,19,20,,
crush,VERB,xcomp,17,116,121,20,20,,
its,DET,poss,26,122,125,21,20,,
own,ADJ,amod,26,126,129,22,20,,
pro,ADJ,dep,24,130,133,23,20,,
-,ADJ,dep,25,133,134,24,20,,
democracy,ADJ,amod,26,134,143,25,20,,
movement,NOUN,dobj,20,144,152,26,20,,
.,PUNCT,punct,7,153,154,27,20,,
A,DET,det,1,0,1,0,21,,
report,NOUN,nsubj,20,2,8,1,21,,
released,VERB,acl,1,9,17,2,21,,
earlier,ADV,advmod,5,18,25,3,21,,
this,DET,det,5,26,30,4,21,,
year,NOUN,npadvmod,2,31,35,5,21,,
by,ADP,agent,2,36,38,6,21,,
the,DET,det,12,39,42,7,21,,
David,PROPN,nmod,12,43,48,8,21,,
and,CCONJ,cc,8,49,52,9,21,,
Lucile,PROPN,conj,8,53,59,10,21,21-1,ORG
Packard,PROPN,compound,12,60,67,11,21,21-1,ORG
Foundation,PROPN,poss,14,68,78,12,21,21-1,ORG
's,PART,case,12,79,81,13,21,,
Center,PROPN,pobj,6,82,88,14,21,,
for,ADP,prep,14,89,92,15,21,,
the,DET,det,17,93,96,16,21,,
Future,PROPN,pobj,15,97,103,17,21,21-2,MISC
