,sent_index,dep,sentence_length,root_index,root_word,entity_1_index,entity_2_index,entity_distance,no_words_before_entity_1,no_words_after_entity_2,entity_1_root_distance,entity_2_root_distance,entity 1 name,entity 2 name,entity_type_1,entity_type_2,entity_pos_1,entity_pos_2,entity_dep_1,entity_dep_2,entity_tag_1,entity_tag_2,shortest_distance,shortest_path,rel type,rel subtype,entity 1 ID,entity 2 ID,entity 1 mention ID,entity 2 mention ID,entity 1 type,entity 2 type,same_sent,same_sent.1,distance,pos_pattern,shortest_dep_path,span,label
1,0.0,"['compound', 'compound', 'compound', 'compound', 'nsubj', 'punct', 'appos', 'punct', 'compound', 'compound', 'appos', 'advmod', 'ROOT', 'prep', 'compound', 'compound', 'nmod', 'amod', 'pobj', 'cc', 'conj', 'det', 'dobj', 'prep', 'det', 'compound', 'pobj', 'punct', 'det', 'amod', 'conj', 'punct', 'cc', 'amod', 'conj', 'punct', '']",37,12,met,1,1,0,0,35,11,-11,U.S. Army General Joseph Votel,U.S. Air Force civilian employees,Person,Organisation,PROPN-PROPN-PROPN-PROPN-PROPN,PROPN-PROPN-PROPN-ADJ-NOUN,compound-compound-compound-compound-nsubj,compound-compound-nmod-amod-pobj,NNP-NNP-NNP-NNP-NNP,NNP-NNP-NNP-JJ-NNS,0,[1],CommWith,CommWith,F7893F2F4E38C8E00C7D22E22E100428-0-0-30-Person,F7893F2F4E38C8E00C7D22E22E100428-0-82-115-Organisation,F7893F2F4E38C8E00C7D22E22E100428-0-0-30-Person,F7893F2F4E38C8E00C7D22E22E100428-0-82-115-Organisation,Person,Organisation,True,True,6.0,NOUN-PROPN-ADV-VERB-ADP,3.0,"U.S. Army General Joseph Votel , commander , U.S. Central Command recently met with U.S. Air Force civilian employees",1
0,0.0,"['nsubj', 'prep', 'compound', 'compound', 'pobj', 'prep', 'pobj', 'ROOT', 'xcomp', 'dobj', 'acl', 'prep', 'det', 'compound', 'pobj', 'aux', 'advmod', 'advcl', 'prep', 'amod', 'cc', 'conj', 'pobj', 'punct']",24,7,shown,3,7,4,2,16,4,0,U.S. service members,Syria,Organisation,Location,PROPN-NOUN-NOUN,PROPN,compound-compound-pobj,pobj,NNP-NN-NNS,NNP,4,"[3, 4, 1, 0, 7]",CoLocated,CoLocated,001C9C3F3DFE16B4921B1E906F66E161-0-15-35-Organisation,001C9C3F3DFE16B4921B1E906F66E161-0-39-44-Location,001C9C3F3DFE16B4921B1E906F66E161-0-15-35-Organisation,001C9C3F3DFE16B4921B1E906F66E161-0-39-44-Location,Organisation,Location,True,True,2.0,ADP,2.0,U.S. service members in Syria,1
1,1.0,"['aux', 'advcl', 'punct', 'compound', 'nsubj', 'aux', 'ROOT', 'cc', 'conj', 'amod', 'compound', 'dobj', 'punct', 'appos', 'punct', 'punct', 'advmod', 'amod', 'amod', 'nsubj', 'acl', 'prep', 'det', 'amod', 'pobj', 'prep', 'det', 'pobj', 'nsubj', 'aux', 'ccomp', 'dobj', 'prep', 'det', 'pobj', 'aux', 'acl', 'dobj', 'punct', '']",40,6,advising,4,10,6,3,29,2,4,U.S. forces,Syrian Democratic Forces,Organisation,Organisation,PROPN-NOUN,PROPN-PROPN-PROPN,compound-nsubj,amod-compound-dobj,NNP-NNS,NNP-NNP-NNPS,5,"[4, 6, 8, 19, 11, 10]",CommWith,CommWith,001C9C3F3DFE16B4921B1E906F66E161-1-12-23-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-51-75-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-12-23-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-51-75-Organisation,Organisation,Organisation,True,True,5.0,AUX-VERB-CCONJ-VERB,3.0,U.S. forces are advising and assisting Syrian Democratic Forces,1
2,1.0,"['aux', 'advcl', 'punct', 'compound', 'nsubj', 'aux', 'ROOT', 'cc', 'conj', 'amod', 'compound', 'dobj', 'punct', 'appos', 'punct', 'punct', 'advmod', 'amod', 'amod', 'nsubj', 'acl', 'prep', 'det', 'amod', 'pobj', 'prep', 'det', 'pobj', 'nsubj', 'aux', 'ccomp', 'dobj', 'prep', 'det', 'pobj', 'aux', 'acl', 'dobj', 'punct', '']",40,6,advising,10,14,4,9,25,-4,8,Syrian Democratic Forces,SDF,Organisation,Organisation,PROPN-PROPN-PROPN,PROPN,amod-compound-dobj,appos,NNP-NNP-NNPS,NNP,3,"[10, 11, 13, 14]",IsSynonymOf,IsSynonymOf,001C9C3F3DFE16B4921B1E906F66E161-1-51-75-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-77-80-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-51-75-Organisation,001C9C3F3DFE16B4921B1E906F66E161-1-77-80-Organisation,Organisation,Organisation,True,True,1.0,,1.0,Syrian Democratic Forces ( SDF,1
3,2.0,"['compound', 'compound', 'nsubj', 'punct', 'appos', 'prep', 'compound', 'compound', 'pobj', 'ROOT', 'punct', 'punct', 'nsubj', 'aux', 'ccomp', 'advmod', 'acomp', 'prep', 'det', 'pobj', 'prep', 'det', 'pobj', 'mark', 'aux', 'advcl', 'dobj', 'nsubj', 'aux', 'relcl', 'aux', 'xcomp', 'prep', 'amod', 'amod', 'pobj', 'acl', 'prep', 'det', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",45,9,said,2,5,3,1,39,7,-4,Joseph Votel,commander of U.S. Central Command,Person,Person,PROPN-PROPN,NOUN-ADP-PROPN-PROPN-PROPN,compound-nsubj,appos-prep-compound-compound-pobj,NNP-NNP,NN-IN-NNP-NNP-NNP,2,"[2, 4, 5]",IsSynonymOf,IsSynonymOf,001C9C3F3DFE16B4921B1E906F66E161-3-0-12-Person,001C9C3F3DFE16B4921B1E906F66E161-3-14-47-Person,001C9C3F3DFE16B4921B1E906F66E161-3-0-12-Person,001C9C3F3DFE16B4921B1E906F66E161-3-14-47-Person,Person,Person,True,True,1.0,,1.0,"Joseph Votel , commander of U.S. Central Command",1
4,2.0,"['compound', 'compound', 'nsubj', 'punct', 'appos', 'prep', 'compound', 'compound', 'pobj', 'ROOT', 'punct', 'punct', 'nsubj', 'aux', 'ccomp', 'advmod', 'acomp', 'prep', 'det', 'pobj', 'prep', 'det', 'pobj', 'mark', 'aux', 'advcl', 'dobj', 'nsubj', 'aux', 'relcl', 'aux', 'xcomp', 'prep', 'amod', 'amod', 'pobj', 'acl', 'prep', 'det', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",45,9,said,27,42,15,26,2,-18,33,Daesh,Iraq,Organisation,Location,PROPN,PROPN,dobj,pobj,NNP,NNP,10,"[27, 26, 30, 32, 33, 36, 37, 38, 40, 41, 42]",CoLocated,CoLocated,001C9C3F3DFE16B4921B1E906F66E161-7-99-104-Organisation,001C9C3F3DFE16B4921B1E906F66E161-7-108-112-Location,001C9C3F3DFE16B4921B1E906F66E161-7-99-104-Organisation,001C9C3F3DFE16B4921B1E906F66E161-7-108-112-Location,Organisation,Location,True,True,,,,Daesh in Iraq,1
5,2.0,"['compound', 'compound', 'nsubj', 'punct', 'appos', 'prep', 'compound', 'compound', 'pobj', 'ROOT', 'punct', 'punct', 'nsubj', 'aux', 'ccomp', 'advmod', 'acomp', 'prep', 'det', 'pobj', 'prep', 'det', 'pobj', 'mark', 'aux', 'advcl', 'dobj', 'nsubj', 'aux', 'relcl', 'aux', 'xcomp', 'prep', 'amod', 'amod', 'pobj', 'acl', 'prep', 'det', 'pobj', 'prep', 'pobj', 'cc', 'conj', 'punct']",45,9,said,27,44,17,26,0,-18,35,Daesh,Syria,Organisation,Location,PROPN,PROPN,dobj,conj,NNP,NNP,11,"[27, 26, 30, 32, 33, 36, 37, 38, 40, 41, 42, 44]",CoLocated,CoLocated,001C9C3F3DFE16B4921B1E906F66E161-7-99-104-Organisation,001C9C3F3DFE16B4921B1E906F66E161-7-117-122-Location,001C9C3F3DFE16B4921B1E906F66E161-7-99-104-Organisation,001C9C3F3DFE16B4921B1E906F66E161-7-117-122-Location,Organisation,Location,True,True,,,,Daesh in Iraq and Syria,1
6,3.0,"['prep', 'pobj', 'punct', 'prep', 'det', 'pobj', 'prep', 'det', 'amod', 'compound', 'compound', 'punct', 'compound', 'pobj', 'punct', 'det', 'appos', 'punct', 'nsubj', 'relcl', 'det', 'amod', 'compound', 'dobj', 'punct', 'aux', 'ROOT', 'amod', 'dobj', 'prep', 'det', 'amod', 'nummod', 'pobj', 'punct', 'advcl', 'amod', 'quantmod', 'nummod', 'amod', 'dobj', 'prep', 'pobj', 'advmod', 'acl', 'agent', 'det', 'pobj', 'punct']",49,26,made,5,5,0,4,43,21,-21,the enemy,the SDF,Organisation,Organisation,DET-NOUN,DET-PROPN,det-pobj,det-appos,DT-NN,DT-NNP,0,[5],FightingAgainst,FightingAgainst,001C9C3F3DFE16B4921B1E906F66E161-4-263-272-Organisation,001C9C3F3DFE16B4921B1E906F66E161-4-74-81-Organisation,001C9C3F3DFE16B4921B1E906F66E161-4-263-272-Organisation,001C9C3F3DFE16B4921B1E906F66E161-4-74-81-Organisation,Organisation,Organisation,True,True,15.0,DET-VERB-DET-AUX-VERB-ADJ-NOUN-ADP-DET-VERB-ADJ-ADV-VERB-ADP,12.0,"the SDF , which includes the Syrian Arab Coalition , has made extraordinary progress over the past 20-plus months , retaking more than 18,000 square kilometers of territory previously held by the enemy",1
7,4.0,"['nsubj', 'aux', 'ROOT', 'aux', 'xcomp', 'poss', 'dobj', 'amod', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct']",14,2,continue,1,6,5,0,7,1,4,We,their,Organisation,Organisation,PRON,DET,nsubj,poss,PRP,PRP$,3,"[1, 2, 4, 6]",AlliesOf,AlliesOf,001C9C3F3DFE16B4921B1E906F66E161-5-0-2-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-28-33-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-0-2-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-28-33-Organisation,Organisation,Organisation,True,True,5.0,VERB-VERB-PART-VERB,4.0,We will continue to support their,1
8,4.0,"['nsubj', 'aux', 'ROOT', 'aux', 'xcomp', 'poss', 'dobj', 'amod', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct']",14,2,continue,1,13,12,0,0,1,11,We,Daesh,Organisation,Organisation,PRON,PROPN,nsubj,pobj,PRP,NNP,2,"[1, 2, 13]",FightingAgainst,FightingAgainst,001C9C3F3DFE16B4921B1E906F66E161-3-55-57-Organisation,001C9C3F3DFE16B4921B1E906F66E161-3-125-130-Organisation,001C9C3F3DFE16B4921B1E906F66E161-3-55-57-Organisation,001C9C3F3DFE16B4921B1E906F66E161-3-125-130-Organisation,Organisation,Organisation,True,True,14.0,AUX-AUX-ADV-ADJ-ADP-DET-NOUN-ADP-DET-NOUN-DET-PART-VERB,7.0,We 've been very clear from the outset of this campaign that to defeat Daesh,1
9,4.0,"['nsubj', 'aux', 'ROOT', 'aux', 'xcomp', 'poss', 'dobj', 'amod', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct']",14,2,continue,6,13,7,5,0,-4,11,their,Daesh,Organisation,Organisation,DET,PROPN,poss,pobj,PRP$,NNP,3,"[6, 4, 2, 13]",FightingAgainst,FightingAgainst,001C9C3F3DFE16B4921B1E906F66E161-5-28-33-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-72-77-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-28-33-Organisation,001C9C3F3DFE16B4921B1E906F66E161-5-72-77-Organisation,Organisation,Organisation,True,True,7.0,NOUN-ADJ-ADP-DET-NOUN-ADP,6.0,their efforts specific to the fight against Daesh,1
10,5.0,"['prep', 'det', 'amod', 'pobj', 'punct', 'nsubj', 'ROOT', 'advmod', 'acomp', 'prep', 'det', 'amod', 'pobj', 'acl', 'agent', 'poss', 'compound', 'pobj', 'punct', 'advmod', 'det', 'appos', 'punct']",23,6,are,2,16,14,1,6,4,10,the Turks,our Coalition partners,Organisation,Organisation,DET-PROPN,DET-PROPN-NOUN,det-appos,poss-compound-pobj,DT-NNPS,PRP$-NNP-NNS,10,"[2, 3, 0, 6, 8, 9, 12, 13, 14, 17, 16]",BelongsTo,BelongsTo,001C9C3F3DFE16B4921B1E906F66E161-6-119-128-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-84-106-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-119-128-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-84-106-Organisation,Organisation,Organisation,True,True,2.0,ADV,1.0,"our Coalition partners , especially the Turks",1
11,5.0,"['prep', 'det', 'amod', 'pobj', 'punct', 'nsubj', 'ROOT', 'advmod', 'acomp', 'prep', 'det', 'amod', 'pobj', 'acl', 'agent', 'poss', 'compound', 'pobj', 'punct', 'advmod', 'det', 'appos', 'punct']",23,6,are,6,16,10,5,6,0,10,we,our Coalition partners,Organisation,Organisation,PRON,DET-PROPN-NOUN,nsubj,poss-compound-pobj,PRP,PRP$-NNP-NNS,7,"[6, 8, 9, 12, 13, 14, 17, 16]",Likes,Likes,001C9C3F3DFE16B4921B1E906F66E161-6-18-20-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-84-106-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-18-20-Organisation,001C9C3F3DFE16B4921B1E906F66E161-6-84-106-Organisation,Organisation,Organisation,True,True,10.0,AUX-ADV-ADJ-ADP-DET-ADJ-NOUN-VERB-ADP,7.0,we are enormously grateful for the tremendous support provided by our Coalition partners,1
0,2.0,"['det', 'nsubj', 'ROOT', 'aux', 'xcomp', 'dobj', 'aux', 'advcl', 'prep', 'det', 'pobj', 'cc', 'conj', 'prep', 'pobj', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct']",21,2,continues,1,10,9,0,10,1,8,The UK,the government,Organisation,Organisation,DET-PROPN,DET-NOUN,det-nsubj,det-pobj,DT-NNP,DT-NN,6,"[1, 2, 4, 6, 7, 8, 10]",Likes,Likes,821F5BBD9F50DD7301C12ECCC926B00C-1-0-6-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-52-66-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-0-6-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-52-66-Organisation,Organisation,Organisation,True,True,8.0,VERB-PART-VERB-NOUN-ADP-VERB-ADP,5.0,The UK continues to stand shoulder to shoulder with the government,1
1,2.0,"['det', 'nsubj', 'ROOT', 'aux', 'xcomp', 'dobj', 'aux', 'advcl', 'prep', 'det', 'pobj', 'cc', 'conj', 'prep', 'pobj', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct']",21,2,continues,1,13,12,0,7,1,11,The UK,people of Iraq,Organisation,Organisation,DET-PROPN,NOUN-ADP-PROPN,det-nsubj,conj-prep-pobj,DT-NNP,NNS-IN-NNP,8,"[1, 2, 4, 6, 7, 8, 10, 12, 13]",Likes,Likes,821F5BBD9F50DD7301C12ECCC926B00C-1-0-6-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-71-85-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-0-6-Organisation,821F5BBD9F50DD7301C12ECCC926B00C-1-71-85-Organisation,Organisation,Organisation,True,True,10.0,VERB-PART-VERB-NOUN-ADP-VERB-ADP-DET-CCONJ,6.0,The UK continues to stand shoulder to shoulder with the government and people of Iraq,1
0,1.0,"['advcl', 'npadvmod', 'punct', 'compound', 'nsubj', 'ROOT', 'punct', '', 'nsubj', 'ccomp', 'det', 'dobj', 'mark', 'det', 'nsubj', 'prep', 'pobj', 'aux', 'acl', 'det', 'amod', 'dobj', 'advmod', 'prep', 'pobj', 'punct']",26,5,said,4,11,7,3,14,1,6,Minister Ellwood,the Government of Iraq,Person,Organisation,PROPN-PROPN,DET-PROPN-ADP-PROPN,compound-nsubj,det-nsubj-prep-pobj,NNP-NNP,DT-NNP-IN-NNP,3,"[4, 5, 9, 11]",Likes,Likes,3A7EC63500380D5B35C211D4FF5E20EA-1-16-32-Person,3A7EC63500380D5B35C211D4FF5E20EA-1-64-86-Organisation,3A7EC63500380D5B35C211D4FF5E20EA-1-16-32-Person,3A7EC63500380D5B35C211D4FF5E20EA-1-64-86-Organisation,Person,Organisation,True,True,7.0,VERB-PRON-VERB-DET-NOUN-SCONJ,5.0,Minister Ellwood said : I welcome the news that the Government of Iraq,1
1,2.0,"['det', 'nsubj', 'ROOT', 'acomp', 'prep', 'pcomp', 'det', 'amod', 'dobj', 'prep', 'det', 'pobj', 'prep', 'det', 'compound', 'pobj', 'pobj', 'punct']",18,2,is,1,17,16,0,0,1,15,The UK,ISIL,Organisation,Organisation,DET-PROPN,PROPN,det-nsubj,pobj,DT-NNP,NNP,2,"[1, 3, 17]",Dislikes,Dislikes,3A7EC63500380D5B35C211D4FF5E20EA-2-0-6-Organisation,3A7EC63500380D5B35C211D4FF5E20EA-2-102-106-Organisation,3A7EC63500380D5B35C211D4FF5E20EA-2-0-6-Organisation,3A7EC63500380D5B35C211D4FF5E20EA-2-102-106-Organisation,Organisation,Organisation,True,True,13.0,AUX-VERB-ADP-VERB-DET-ADP-DET-NOUN-ADP-DET-NOUN-NOUN,8.0,The UK is committed to supporting the Iraqi government against the terrorism of the vile organisation ISIL,1
